file,manner,path,agent,itemset,Sentence 1,Sentence 2,Sentence 3,Sentence 4,Intended Sentence
rotate_to_1.mp4,rotate,to,1,W,,,,,(MK WILL FILL)
rotate_to_2.mp4,rotate,to,2,W,,,,,(MK WILL FILL)
rotate_to_3.mp4,rotate,to,3,W,The yellow triangle rocks back and forth.,It shuffles towards the bridge.,It stops in front of the bridge.,,(MK WILL FILL)
rotate_to_8.mp4,rotate,to,8,W,,,,,(MK WILL FILL)
rotate_tofar_1.mp4,rotate,tofar,1,W,,,,,(MK WILL FILL)
rotate_tofar_2.mp4,rotate,tofar,2,W,,,,,(MK WILL FILL)
rotate_tofar_3.mp4,rotate,tofar,3,W,,,,,(MK WILL FILL)
rotate_tofar_8.mp4,rotate,tofar,8,W,,,,,(MK WILL FILL)
rotate_circle_1.mp4,rotate,circle,1,W,,,,,(MK WILL FILL)
rotate_circle_2.mp4,rotate,circle,2,W,,,,,(MK WILL FILL)
rotate_circle_3.mp4,rotate,circle,3,W,The yellow triangle hops forward.,The triangle stops at the start of the bridge.,The triange moves in front of the bridge.,,(MK WILL FILL)
rotate_circle_8.mp4,rotate,circle,8,W,,,,,(MK WILL FILL)
rotate_onto_1.mp4,rotate,onto,1,W,,,,,(MK WILL FILL)
rotate_onto_2.mp4,rotate,onto,2,W,,,,,
rotate_onto_3.mp4,rotate,onto,3,W,,,,,
rotate_onto_8.mp4,rotate,onto,8,W,,,,,
rock_to_1.mp4,rock,to,1,W,The pink circle rolls towards the bridge.,The circle stops at the start of the bridge.,It stops in front of the bridge.,,
rock_to_2.mp4,rock,to,2,W,,,,,
rock_to_3.mp4,rock,to,3,W,,,,,
rock_to_8.mp4,rock,to,8,W,,,,,
rock_tofar_1.mp4,rock,tofar,1,W,,,,,
rock_tofar_2.mp4,rock,tofar,2,W,,,,,
rock_tofar_3.mp4,rock,tofar,3,W,The pink circle scoots forward.,It rocks back and forth. ,It moves the the end of the bridge.,The circle passes in front of the brige.,
rock_tofar_8.mp4,rock,tofar,8,W,,,,,
rock_circle_1.mp4,rock,circle,1,W,,,,,
rock_circle_2.mp4,rock,circle,2,W,,,,,
rock_circle_3.mp4,rock,circle,3,W,,,,,
rock_circle_8.mp4,rock,circle,8,W,,,,,
rock_onto_1.mp4,rock,onto,1,W,The yellow triangle bounces through the air.,It climbs an imaginary staircase.,The triangle lands at the top the the bridge.,,
rock_onto_2.mp4,rock,onto,2,W,,,,,
rock_onto_3.mp4,rock,onto,3,W,,,,,
rock_onto_8.mp4,rock,onto,8,W,,,,,
sine_to_1.mp4,sine,to,1,W,The pink circle scoots forward to the middle of the bridge.,It moves in front of the bridge.,The circle changes directions at the middle of the bridge.,The circle scoots backwards behind the bridge.,
sine_to_2.mp4,sine,to,2,W,,,,,
sine_to_3.mp4,sine,to,3,W,,,,,
sine_to_8.mp4,sine,to,8,W,,,,,
sine_tofar_1.mp4,sine,tofar,1,W,The greeen polygon sits beneath the bridge.,The bridge is brown.,The frame bounces around the screen.,The ground is red.,
sine_tofar_2.mp4,sine,tofar,2,W,,,,,
sine_tofar_3.mp4,sine,tofar,3,W,,,,,
sine_tofar_8.mp4,sine,tofar,8,W,,,,,
sine_circle_1.mp4,sine,circle,1,W,,,,,
sine_circle_2.mp4,sine,circle,2,W,,,,,
sine_circle_3.mp4,sine,circle,3,W,,,,,
sine_circle_8.mp4,sine,circle,8,W,,,,,
sine_onto_1.mp4,sine,onto,1,W,The yellow triangle moves through the air.,It rocks back and forth. ,It floats up to the top of the bridge.,,
sine_onto_2.mp4,sine,onto,2,W,,,,,
sine_onto_3.mp4,sine,onto,3,W,,,,,
sine_onto_8.mp4,sine,onto,8,W,,,,,
wheelie_to_1.mp4,wheelie,to,1,W,,,,,
wheelie_to_2.mp4,wheelie,to,2,W,,,,,
wheelie_to_3.mp4,wheelie,to,3,W,,,,,
wheelie_to_8.mp4,wheelie,to,8,W,,,,,
wheelie_tofar_1.mp4,wheelie,tofar,1,W,,,,,
wheelie_tofar_2.mp4,wheelie,tofar,2,W,,,,,
wheelie_tofar_3.mp4,wheelie,tofar,3,W,,,,,
wheelie_tofar_8.mp4,wheelie,tofar,8,W,,,,,
wheelie_circle_1.mp4,wheelie,circle,1,W,,,,,
wheelie_circle_2.mp4,wheelie,circle,2,W,,,,,
wheelie_circle_3.mp4,wheelie,circle,3,W,,,,,
wheelie_circle_8.mp4,wheelie,circle,8,W,,,,,
wheelie_onto_1.mp4,wheelie,onto,1,W,,,,,
wheelie_onto_2.mp4,wheelie,onto,2,W,,,,,
wheelie_onto_3.mp4,wheelie,onto,3,W,The purple square bounces forward.,It bounces down and away from the brown bridge.,The ground is red.,It stops in the lower right corner.,
wheelie_onto_8.mp4,wheelie,onto,8,W,,,,,
halfrotate_past_4.mp4,halfrotate,past,4,X,,,,,
halfrotate_past_5.mp4,halfrotate,past,5,X,,,,,
halfrotate_past_6.mp4,halfrotate,past,6,X,,,,,
halfrotate_past_7.mp4,halfrotate,past,7,X,,,,,
halfrotate_under_4.mp4,halfrotate,under,4,X,,,,,
halfrotate_under_5.mp4,halfrotate,under,5,X,The grey triangle bounces quicklly.,It moves forward.,It stops under the brown bridge.,,
halfrotate_under_6.mp4,halfrotate,under,6,X,,,,,
halfrotate_under_7.mp4,halfrotate,under,7,X,,,,,
halfrotate_behind_4.mp4,halfrotate,behind,4,X,,,,,
halfrotate_behind_5.mp4,halfrotate,behind,5,X,The green polygon jumps to the bottom of the frame.,The ground is red.,It quickly bounces away from the brown bridge.,It stops behind a yellow strip.,
halfrotate_behind_6.mp4,halfrotate,behind,6,X,,,,,
halfrotate_behind_7.mp4,halfrotate,behind,7,X,,,,,
halfrotate_underfar_4.mp4,halfrotate,underfar,4,X,,,,,
halfrotate_underfar_5.mp4,halfrotate,underfar,5,X,,,,,
halfrotate_underfar_6.mp4,halfrotate,underfar,6,X,The grey traingle moves towards the bridge.,It passes in front of the bridge.,It bounces quickly forward.,,
halfrotate_underfar_7.mp4,halfrotate,underfar,7,X,,,,,
bounce_past_4.mp4,bounce,past,4,X,,,,,
bounce_past_5.mp4,bounce,past,5,X,,,,,
bounce_past_6.mp4,bounce,past,6,X,,,,,
bounce_past_7.mp4,bounce,past,7,X,,,,,
bounce_under_4.mp4,bounce,under,4,X,,,,,
bounce_under_5.mp4,bounce,under,5,X,,,,,
bounce_under_6.mp4,bounce,under,6,X,,,,,
bounce_under_7.mp4,bounce,under,7,X,,,,,
bounce_behind_4.mp4,bounce,behind,4,X,The grey triangle moves halfway across the frame.,The bridge is brown.,The triange bounces under the bridge.,,
bounce_behind_5.mp4,bounce,behind,5,X,,,,,
bounce_behind_6.mp4,bounce,behind,6,X,,,,,
bounce_behind_7.mp4,bounce,behind,7,X,,,,,
bounce_underfar_4.mp4,bounce,underfar,4,X,,,,,
bounce_underfar_5.mp4,bounce,underfar,5,X,,,,,
bounce_underfar_6.mp4,bounce,underfar,6,X,,,,,
bounce_underfar_7.mp4,bounce,underfar,7,X,,,,,
vibrate_past_4.mp4,vibrate,past,4,X,The blue triangle tips back and forth.,It moves forward and away from the bridge.,The triangle stops in the bottom right corner.,The ground is red.,
vibrate_past_5.mp4,vibrate,past,5,X,,,,,
vibrate_past_6.mp4,vibrate,past,6,X,,,,,
vibrate_past_7.mp4,vibrate,past,7,X,The pink circle slides in front of the bridge.,The bridge is brown.,The circle faces upwards while moving.,,
vibrate_under_4.mp4,vibrate,under,4,X,The purple square rocks back and forth.,The square moves forward.,The square passes in front of the bridge.,It stops under the middle of the bridge.,
vibrate_under_5.mp4,vibrate,under,5,X,,,,,
vibrate_under_6.mp4,vibrate,under,6,X,,,,,
vibrate_under_7.mp4,vibrate,under,7,X,,,,,
vibrate_behind_4.mp4,vibrate,behind,4,X,The grey rectangle rests in front of the bridge.,It doesn't move from its position.,There is a brown bridge in front of the rectangle.,,
vibrate_behind_5.mp4,vibrate,behind,5,X,,,,,
vibrate_behind_6.mp4,vibrate,behind,6,X,,,,,
vibrate_behind_7.mp4,vibrate,behind,7,X,,,,,
vibrate_underfar_4.mp4,vibrate,underfar,4,X,,,,,
vibrate_underfar_5.mp4,vibrate,underfar,5,X,The pink circle flies through the air.,The cirlcle lands on top of the bridge.,The bridge is brown.,,
vibrate_underfar_6.mp4,vibrate,underfar,6,X,,,,,
vibrate_underfar_7.mp4,vibrate,underfar,7,X,The purple square rocks back and forth.,It passes in behind the bridge.,It stops behind the first pillar of the bridge.,The bridge is brown.,
stopstart_past_4.mp4,stopstart,past,4,X,The grey rectangle sits on the ground.,The ground is red.,There is a brown bridge in the background.,The middle of the bridge is upscreen from the rectangle's position.,
stopstart_past_5.mp4,stopstart,past,5,X,,,,,
stopstart_past_6.mp4,stopstart,past,6,X,,,,,
stopstart_past_7.mp4,stopstart,past,7,X,,,,,
stopstart_under_4.mp4,stopstart,under,4,X,,,,,
stopstart_under_5.mp4,stopstart,under,5,X,,,,,
stopstart_under_6.mp4,stopstart,under,6,X,The yellow triangle sits at the end of the bridge.,It rests in front of the bridge.,The movie bounces around the screen.,,
stopstart_under_7.mp4,stopstart,under,7,X,,,,,
stopstart_behind_4.mp4,stopstart,behind,4,X,,,,,
stopstart_behind_5.mp4,stopstart,behind,5,X,,,,,
stopstart_behind_6.mp4,stopstart,behind,6,X,,,,,
stopstart_behind_7.mp4,stopstart,behind,7,X,,,,,
stopstart_underfar_4.mp4,stopstart,underfar,4,X,,,,,
stopstart_underfar_5.mp4,stopstart,underfar,5,X,,,,,
stopstart_underfar_6.mp4,stopstart,underfar,6,X,,,,,
stopstart_underfar_7.mp4,stopstart,underfar,7,X,,,,,
none_control1_1.mp4,none,control1,1,Y,,,,,
none_control1_2.mp4,none,control1,2,Y,,,,,
none_control1_3.mp4,none,control1,3,Y,,,,,
none_control1_8.mp4,none,control1,8,Y,The grey triangle bonces quickly forward.,It stops under the brown bridge.,The tirangle passes behind the first leg of the bridge.,,
none_control2_1.mp4,none,control2,1,Y,,,,,
none_control2_2.mp4,none,control2,2,Y,,,,,
none_control2_3.mp4,none,control2,3,Y,,,,,
none_control2_8.mp4,none,control2,8,Y,,,,,
